"code","name","day","unitNetWorth","dayOfGrowth","recent1Week","recent3Month","recent6Month","recent1Year","recent2Year","recent3Year","fromThisYear","fromBuild","serviceCharge"
"740101","长安沪深300非周期",,"1.6260","-0.18","2.65","7.68","26.93","41.88","89.95","43.26","40.29","149.58",""
"700002","平安深证300指数增强",,"2.5690","-0.16","2.64","7.71","26.80","47.39","110.92","48.07","45.80","176.74",""
"690008","民生中证内地资源主题指数",,"0.7480","2.61","5.35","14.72","31.23","21.82","25.50","-5.56","15.43","-25.20",""
"673101","西部利得沪深300指数增强C",,"2.0003","-0.14","2.81","10.19","34.62","53.30","","","50.77","116.23",""
"673100","西部利得沪深300指数增强A",,"2.0109","-0.15","2.81","10.30","34.90","53.93","109.58","82.81","51.35","123.03",""
"660011","农银中证500指数",,"1.5802","-0.27","1.28","-3.00","9.08","18.79","42.41","0.88","18.13","58.02",""
"660008","农银沪深300指数A",,"1.7557","-0.32","2.13","5.20","24.85","25.83","63.82","33.02","23.96","75.57",""
"590007","中邮中证500指数增强A",,"1.2993","-0.63","1.18","-1.84","14.55","30.45","56.73","16.84","28.86","93.44",""
"585001","东吴中证新兴指数",,"1.6577","0.30","2.32","6.71","25.60","44.78","83.17","32.83","43.15","65.77",""
"540012","汇丰晋信恒生龙头指数A",,"2.0688","-0.28","2.78","11.04","31.44","31.72","75.94","49.98","30.04","195.43",""
"539003","建信富时100指数(QDII)人民币A",,"0.7689","0.10","-0.95","7.72","0.56","-15.78","-5.31","-11.21","-16.24","-20.64",""
"530018","建信深证100指数增强",,"2.5621","-0.35","2.06","6.53","27.70","43.27","99.42","44.62","41.30","156.21",""
"530015","建信深证基本面60ETF联接A",,"2.8507","-0.19","1.42","8.23","26.71","25.04","80.16","48.48","22.48","185.07",""
"530010","建信上证社会责任ETF联接",,"2.5527","-0.52","1.59","3.93","27.55","23.37","57.59","39.09","22.19","155.27",""
"519981","长信标普100等权重指数",,"1.4330","0.42","0.07","10.40","14.64","9.81","29.84","26.42","9.47","130.86",""
"519706","交银深证300价值ETF联接",,"2.2360","-0.67","1.04","4.98","20.60","18.87","68.63","28.88","16.34","123.60",""
"519686","交银上证180公司治理联接",,"1.6070","-0.37","1.64","4.42","27.64","19.93","42.34","22.30","18.51","60.70",""
"519677","银河定投宝腾讯济安指数",,"2.3100","-0.30","0.26","1.76","26.71","44.19","74.87","34.15","42.07","131.00",""
"519671","银河沪深300价值指数",,"1.6090","-0.43","0.81","2.42","20.07","8.64","31.03","18.30","7.34","86.20",""
"519300","大成沪深300指数A",,"1.3270","-0.35","1.83","4.58","25.48","27.61","62.50","30.03","25.65","302.38",""
"519180","万家180指数",,"1.1469","-0.47","2.04","3.85","22.13","18.13","45.95","22.69","16.47","358.41",""
"519117","浦银安盛基本面400指数",,"1.7480","0.17","1.63","0.00","16.77","22.07","45.79","9.32","19.64","74.80",""
"519116","浦银安盛沪深300指数增强",,"1.8740","-0.27","2.07","6.86","30.43","33.89","82.22","54.20","31.41","126.68",""
"519100","长盛中证100指数",,"1.8490","-0.61","2.25","8.45","34.28","35.25","76.60","49.20","33.44","216.29",""
"519034","海富通中证500增强A",,"1.8378","-0.57","2.69","0.45","18.25","40.40","58.29","12.06","37.05","83.78",""
"519032","海富通上证非周期ETF联接",,"1.6140","-0.43","2.93","5.91","23.21","33.50","64.36","33.72","32.40","61.40",""
"519027","海富通上证周期ETF联接",,"1.4330","-0.49","1.27","2.43","17.65","5.60","28.52","11.95","4.60","43.30",""
"510080","长盛全债指数增强债券",,"1.3548","0.24","0.81","1.65","6.57","11.52","23.31","20.68","11.27","291.61",""
"502056","广发中证医疗指数(LOF)A",,"1.3760","-1.10","3.47","9.79","19.32","66.73","139.98","124.43","68.25","46.72",""
"502053","长盛中证证券公司分级",,"1.0510","-1.04","0.67","-2.80","30.79","24.00","64.02","26.53","19.32","18.65",""
"502048","易方达上证50指数分级",,"1.2371","-0.82","2.39","5.30","27.52","26.40","60.77","40.65","24.92","28.90",""
"502040","长盛上证50指数(LOF)",,"1.1497","-0.84","2.27","5.48","30.67","32.16","78.31","56.86","30.27","92.29",""
"502023","鹏华钢铁分级",,"1.3360","1.91","1.52","8.00","14.79","18.70","17.29","-11.30","18.04","-4.69",""
"502020","国金上证50指数增强(LOF)",,"1.2587","-0.88","2.26","5.14","22.58","21.24","51.65","31.62","19.25","16.80",""
"502013","长盛中证申万一带一路分级",,"1.3590","0.07","2.33","8.31","27.81","23.81","36.34","7.02","20.26","-40.56",""
"502010","易方达证券公司分级",,"1.3064","-1.03","0.67","-3.33","27.94","24.37","65.93","28.85","19.61","-10.66",""
"502006","易方达国企改革指数分级",,"1.4327","-0.10","2.64","5.60","32.68","38.67","79.27","43.57","36.16","-6.81",""
"502003","易方达军工分级",,"1.2532","-0.01","0.94","3.44","42.42","56.02","89.79","41.54","57.31","-17.12",""
"502000","西部利得中证500指数增强A",,"1.4007","-0.44","2.50","5.93","29.96","48.23","98.44","54.71","45.74","-4.18",""
"501311","嘉实港股通新经济指数A",,"1.4115","0.07","3.61","8.27","20.25","35.16","","","34.48","41.15",""
"501310","华宝沪港深中国增强(LOF)A",,"0.8632","0.16","0.48","-0.53","-0.10","-13.72","-11.97","","-14.48","-13.69",""
"501309","国泰恒生港股通指数(LOF)",,"1.1590","-0.34","1.11","5.38","11.32","10.50","14.22","","9.04","15.90",""
"501308","银河中证沪港深高股息C",,"0.9924","0.58","0.48","1.75","8.39","-0.91","10.16","","-2.33","-0.76",""
"501307","银河中证沪港深高股息A",,"0.9989","0.59","0.49","1.82","8.53","-0.65","10.69","","-2.09","-0.11",""
"501306","汇添富中证港股通(LOF)C",,"0.8258","0.57","0.94","-1.13","-4.23","-14.90","-4.26","-17.49","-15.66","-17.42",""
"501305","汇添富中证港股通(LOF)A",,"0.8355","0.57","0.95","-1.02","-4.04","-14.55","-3.52","-16.53","-15.33","-16.45",""
"501303","广发恒生中型股指数A",,"1.0161","0.41","3.46","4.59","12.52","9.48","23.12","3.81","8.19","1.61",""
"501302","南方恒指ETF联接A",,"1.0155","-0.70","-0.24","4.99","1.55","-8.91","1.09","-4.02","-9.55","1.55",""
"501301","华宝香港大盘A",,"1.1130","-0.70","-0.08","4.20","-0.38","-9.02","1.75","-2.94","-10.10","11.29",""
"501105","建信金融债8-10年(LOF)",,"1.1870","0.00","0.19","1.22","-0.93","2.60","6.21","17.97","2.06","18.69",""
"501090","华宝中证消费龙头指数(LOF)A",,"1.5828","-0.86","2.97","12.74","48.65","","","","58.28","58.28",""
"501089","方正富邦消费红利指数增强(LOF)",,"1.4410","-1.09","2.18","7.19","28.84","44.13","","","44.17","44.10",""
"501086","华宝MSCI中国A股国际通(LOF)",,"1.4199","-0.36","2.10","6.02","25.67","34.43","","","32.00","41.99",""
"501072","国金红利增强",,"1.0159","0.37","-0.01","-4.34","6.99","1.57","","","0.48","1.59",""
"501069","华宝标普中国A股质量价值",,"1.4490","0.04","1.26","-0.30","18.18","32.14","","","28.25","44.89",""
"501068","招商富时A-H50指数C",,"1.4394","-0.80","1.67","8.21","16.61","12.65","43.90","","11.72","43.94",""
"501067","招商富时A-H50指数A",,"1.4511","-0.81","1.68","8.31","16.85","13.09","45.05","","12.14","45.11",""
"501061","中金优选300指数(LOF)C",,"1.6112","0.11","1.84","3.34","26.74","27.64","68.20","","25.73","61.12",""
"501060","中金优选300指数(LOF)A",,"1.6234","0.10","1.84","3.40","26.90","27.97","69.35","","26.04","62.34",""
"501059","西部利得国企红利(LOF)A",,"1.5764","0.49","0.59","2.59","21.42","27.04","60.64","","23.59","57.64",""
"501058","汇添富中证新能源汽车C",,"1.9336","2.69","8.22","32.27","66.76","100.14","141.13","","88.50","93.36",""
"501057","汇添富中证新能源汽车A",,"1.9483","2.69","8.22","32.35","66.96","100.65","142.36","","88.95","94.83",""
"501050","华夏上证50AH优选指数A",,"1.5630","-0.70","2.22","6.33","17.87","14.25","43.66","31.79","13.10","56.30",""
"501048","汇添富中证全指证券公司指数C",,"1.2207","-1.04","0.55","-4.27","25.03","19.86","63.41","22.66","15.20","22.07",""
"501047","汇添富中证全指证券公司指数A",,"1.2162","-1.03","0.55","-4.21","25.19","20.15","62.64","22.19","15.48","21.62",""
"501045","汇添富沪深300指数C",,"1.4758","-0.35","2.15","6.24","30.68","33.38","75.36","44.50","31.30","47.58",""
"501043","汇添富沪深300指数A",,"1.4830","-0.35","2.15","6.32","30.86","33.71","76.04","45.21","31.62","48.30",""
"501037","汇添富中证500C",,"1.0729","-0.26","1.17","-1.38","16.38","27.30","56.47","13.84","26.36","7.29",""
"501036","汇添富中证500A",,"1.0808","-0.27","1.17","-1.31","16.52","27.62","57.21","14.64","26.66","8.08",""
"501031","汇添富中证环境治理指数C",,"0.5610","-1.06","-0.44","-9.81","-0.34","1.28","2.97","-39.25","0.92","-43.90",""
"501030","汇添富中证环境治理指数A",,"0.5636","-1.07","-0.44","-9.72","-0.14","1.68","3.53","-38.81","1.29","-43.64",""
"501029","华宝标普中国A股红利机会指数A",,"1.1223","0.76","0.03","-1.35","14.42","14.02","30.76","7.85","11.99","15.36",""
"501025","鹏华香港银行指数(LOF)A",,"0.8919","-0.97","-1.91","8.19","-5.00","-19.12","-14.24","-18.91","-19.12","-7.22",""
"501023","鹏华香港中小企业指数LOF",,"1.0893","0.31","2.41","5.28","7.87","-0.09","4.74","-4.93","-1.07","8.93",""
"501021","华宝香港中小(QDII-LOF)A",,"1.6378","0.36","3.89","2.65","10.06","8.16","35.20","19.94","7.18","63.78",""
"501019","国泰国证航天军工指数",,"1.1648","-0.07","1.51","-0.01","33.56","40.74","87.15","39.92","42.54","16.48",""
"501016","国泰中证申万证券行业指数",,"1.2396","-0.91","0.67","-5.17","24.95","16.30","61.83","26.14","11.63","23.96",""
"501012","汇添富中证中药指数(LOF)C",,"0.9524","-0.82","0.75","-4.16","8.47","24.06","24.24","-4.29","22.64","-4.76",""
"501011","汇添富中证中药指数(LOF)A",,"0.9627","-0.81","0.76","-4.07","8.69","24.57","25.04","-3.47","23.14","-3.73",""
"501010","汇添富中证生物科技指数C",,"2.3846","0.18","7.50","7.96","19.79","81.43","163.81","107.01","78.98","138.46",""
"501009","汇添富中证生物科技指数A",,"2.3870","0.18","7.50","8.07","20.02","82.14","164.90","107.01","79.66","138.70",""
"501008","汇添富中证互联网医疗指数C",,"1.1765","-1.73","-0.64","-6.06","1.12","16.93","49.89","29.86","17.40","17.65",""
"501007","汇添富中证互联网医疗指数A",,"1.1898","-1.73","-0.63","-5.97","1.31","17.41","50.95","30.92","17.87","18.98",""
"501006","汇添富中证精准医疗指数C",,"1.6617","-0.43","5.34","1.59","15.59","61.93","140.76","76.20","61.16","66.17",""
"501005","汇添富中证精准医疗指数A",,"1.6919","-0.43","5.34","1.69","15.82","62.56","142.29","78.06","61.78","69.19",""
"481012","工银深证红利ETF联接A",,"1.6487","-0.24","1.72","10.87","32.55","29.90","93.22","52.82","27.66","149.84",""
"481009","工银沪深300指数A",,"1.3008","-0.33","2.07","5.39","23.75","24.29","59.70","29.57","22.49","124.30",""
"470068","汇添富深证300ETF联接",,"1.9220","-0.17","2.39","5.89","21.98","36.19","86.60","32.84","34.35","92.20",""
"470007","汇添富上证综合指数",,"1.2280","-0.32","1.57","2.59","21.29","19.38","40.64","18.36","17.92","41.63",""
"460300","华泰柏瑞沪深300ETF联接A",,"1.3934","-0.36","1.93","5.45","24.41","24.73","61.13","31.08","22.88","130.20",""
"460220","华泰柏瑞上证中小盘ETF联接",,"1.3666","0.10","1.70","1.92","20.58","24.79","55.79","23.19","22.86","36.66",""
"450008","国富沪深300指数增强",,"1.6870","-0.30","2.12","4.98","30.98","37.94","88.28","51.16","35.83","122.95",""
"410010","华富中小板指数增强",,"1.5777","0.11","1.43","1.70","16.14","32.21","68.00","13.02","31.05","57.77",""
"410008","华富中证100指数",,"2.1568","-0.45","2.36","8.97","32.91","34.83","86.25","62.37","32.82","115.68",""
"399001","中海上证50指数增强",,"1.5520","-0.83","2.17","3.33","27.00","19.36","60.50","44.50","17.00","76.87",""
"370023","上投摩根中证消费服务指数",,"2.3223","-0.39","3.56","6.24","23.53","39.90","85.04","51.39","38.48","171.77",""
"320014","诺安沪深300指数增强A",,"1.5929","-0.34","2.12","7.64","31.50","35.22","78.82","39.92","33.13","63.14",""
"320010","诺安中证100指数A",,"2.0000","-0.40","2.46","9.17","34.05","37.10","88.46","62.00","35.29","115.79",""
"310398","申万菱信沪深300价值指数A",,"1.4505","-0.44","0.67","2.10","19.26","8.04","29.30","16.20","6.86","87.76",""
"310318","申万菱信沪深300指数增强A",,"3.4916","-0.37","1.70","4.92","29.69","37.73","78.02","51.24","35.54","584.67",""
"290010","泰信中证200指数",,"1.3010","-0.08","1.48","1.48","19.14","28.43","64.27","20.57","25.94","32.71",""
"270042","广发纳斯达克100指数A",,"3.6583","0.62","2.57","10.71","17.20","35.06","82.26","88.48","33.13","344.06",""
"270026","广发中小板300联接A",,"1.4207","-0.11","1.20","0.78","15.74","32.75","68.69","14.67","31.38","42.07",""
"270010","广发沪深300ETF联接A",,"2.3864","-0.30","2.18","5.58","23.94","24.79","60.95","31.27","23.12","191.65",""
"257060","国联安上证商品ETF联接",,"0.7709","1.85","4.15","12.46","44.96","42.81","59.90","22.19","36.13","-22.91",""
"240019","华宝中证银行ETF联接A",,"1.1639","-1.19","-0.31","3.14","13.51","-0.37","20.20","4.37","-0.26","82.12",""
"240016","华宝上证180价值联接",,"2.1530","-0.37","0.65","2.33","20.62","12.55","34.56","22.12","11.38","121.34",""
"240014","华宝中证100指数A",,"2.0554","-0.49","2.45","8.17","33.15","34.02","79.28","52.99","32.36","105.54",""
"233010","大摩深证300指数增强",,"2.1970","0.05","3.05","8.82","26.77","44.92","93.40","39.23","43.50","119.70",""
"217027","招商央视财经50指数A",,"3.0329","-0.54","2.51","8.27","28.39","33.02","84.00","48.09","31.20","203.29",""
"217019","招商深证TMT50ETF联接A",,"1.9635","0.26","1.04","0.13","11.87","27.78","99.52","24.67","30.48","96.35",""
"217017","招商上证消费80ETF联接A",,"2.8358","-0.74","4.81","10.04","39.60","67.46","125.31","80.39","64.39","183.58",""
"217016","招商深证100指数A",,"2.1736","-0.01","2.63","9.55","28.91","44.06","112.60","53.72","41.48","117.36",""
"213010","宝盈中证100指数增强A",,"2.3200","-0.47","2.38","8.51","32.34","36.15","88.93","62.69","34.03","132.00",""
"202211","南方中证100指数A",,"1.6313","-0.45","2.35","8.23","33.23","34.43","76.76","42.97","32.66","150.63",""
"202025","南方上证380ETF联接A",,"1.7421","-0.24","1.12","-1.28","13.63","24.27","53.96","15.60","22.84","74.21",""
"202021","南方小康ETF联接A",,"1.4971","0.61","1.83","2.91","26.37","19.08","37.77","11.84","16.19","52.67",""
"202017","南方深证成份ETF联接A",,"1.1868","-0.24","2.07","4.85","22.01","36.54","85.90","31.87","34.86","18.68",""
"202015","南方沪深300联接基金A",,"2.0042","-0.34","2.23","5.70","27.96","29.69","70.01","37.91","27.70","128.60",""
"200002","长城久泰沪深300指数A",,"2.3921","-0.34","1.95","4.91","24.36","29.35","71.35","41.10","27.32","527.67",""
"180003","银华-道琼斯88指数A",,"1.8540","-0.48","4.21","11.36","39.99","44.92","87.26","54.95","41.83","697.71",""
"168702","合煦智远金融科技指数(LOF)C",,"1.0697","-0.84","0.31","-5.76","-0.68","","","","","6.97",""
"168701","合煦智远金融科技指数(LOF)A",,"1.0734","-0.85","0.31","-5.65","-0.44","","","","","7.34",""
"168205","中融中证银行指数(LOF)",,"1.0600","-1.12","-0.19","4.49","18.88","7.17","30.97","20.63","7.17","15.96",""
"168204","中融中证煤炭指数分级",,"0.9680","6.26","2.35","12.38","30.11","17.55","22.87","-11.57","14.18","-26.75",""
"168203","中融国证钢铁行业指数分级",,"0.9510","1.82","1.42","6.49","10.58","12.87","10.74","-27.97","12.35","-59.23",""
"168001","国寿安保中证养老产业",,"1.3486","-1.00","3.07","2.77","19.30","44.02","47.07","11.32","41.63","-7.40",""
"167601","国金沪深300指数增强",,"1.2073","-0.40","2.61","5.12","26.82","23.43","50.33","14.70","22.16","104.65",""
"167507","安信深圳科技指数(LOF)C",,"1.4034","-0.83","1.04","0.60","12.69","39.79","","","38.48","40.34",""
"167506","安信深圳科技指数(LOF)A",,"1.4070","-0.83","1.04","0.67","12.82","40.14","","","38.81","40.70",""
"167503","安信一带一路分级",,"1.2300","0.49","0.57","3.36","19.19","14.42","29.49","4.71","11.51","-45.50",""
"167302","方正富邦大湾区综指(LOF)",,"1.1890","-0.84","0.63","4.87","16.35","15.86","","","15.54","18.90",""
"167301","方正富邦保险主题指数分级",,"1.0030","-1.47","0.84","1.55","27.03","10.71","47.99","20.33","10.79","68.05",""
"166802","浙商沪深300指数增强",,"2.0242","-0.30","2.70","7.40","34.66","44.41","97.21","49.94","41.25","133.02",""
"166402","浦银安盛沪港深基本面100",,"0.9897","-0.33","-0.13","2.99","1.45","-11.82","-2.41","-8.07","-12.65","-1.03",""
"165809","东吴中证可转换债券指数",,"1.0744","0.34","0.21","-0.48","3.70","1.17","18.95","14.51","0.04","-14.75",""
"165806","东吴沪深300A",,"1.4845","-0.19","2.26","5.37","23.76","22.69","52.95","12.80","21.61","48.45",""
"165525","信诚中证基建工程指数LOF",,"0.6900","0.44","0.29","-6.25","3.92","-4.83","-14.60","-38.12","-6.25","-30.42",""
"165524","信诚中证智能家居指数分级",,"0.9150","-1.08","-1.08","-8.19","-1.08","8.41","61.88","9.04","11.36","-39.10",""
"165523","信诚中证信息安全指数分级",,"0.9080","-0.98","-0.66","-9.29","-6.07","4.70","50.60","9.97","8.35","-40.33",""
"165522","信诚中证TMT产业主题分级",,"0.8960","-0.55","-0.77","-5.49","3.26","14.83","73.07","19.98","17.88","30.14",""
"165521","信诚中证800金融指数分级",,"1.1280","-1.23","0.24","1.20","21.36","7.64","36.27","18.41","6.64","109.84",""
"165520","信诚中证800有色指数分级",,"1.2510","2.29","6.79","18.60","44.36","48.22","68.19","15.91","37.37","36.32",""
